Datum;Periode ab;kW
01.01.2021;00:00;389,31
01.01.2021;00:15;395,63
01.01.2021;00:30;393,10
01.01.2021;00:45;390,58
01.01.2021;01:00;389,31
01.01.2021;01:15;382,99
01.01.2021;01:30;382,99
01.01.2021;01:45;386,78
01.01.2021;02:00;393,10
01.01.2021;02:15;390,58
01.01.2021;02:30;395,63
01.01.2021;02:45;391,84
01.01.2021;03:00;396,90
01.01.2021;03:15;396,90
01.01.2021;03:30;389,31
01.01.2021;03:45;395,63
01.01.2021;04:00;399,42
01.01.2021;04:15;391,84
01.01.2021;04:30;398,16
01.01.2021;04:45;394,37
01.01.2021;05:00;401,95
01.01.2021;05:15;399,42
01.01.2021;05:30;399,42
01.01.2021;05:45;403,22
01.01.2021;06:00;395,63
01.01.2021;06:15;396,90
01.01.2021;06:30;405,74
01.01.2021;06:45;398,16
01.01.2021;07:00;394,37
01.01.2021;07:15;391,84
01.01.2021;07:30;370,35
01.01.2021;07:45;283,14
01.01.2021;08:00;203,50
01.01.2021;08:15;189,60
01.01.2021;08:30;188,34
01.01.2021;08:45;192,13
01.01.2021;09:00;175,70
01.01.2021;09:15;152,94
01.01.2021;09:30;149,15
01.01.2021;09:45;284,40
01.01.2021;10:00;342,54
01.01.2021;10:15;313,47
01.01.2021;10:30;285,66
01.01.2021;10:45;271,76
01.01.2021;11:00;338,75
01.01.2021;11:15;356,45
01.01.2021;11:30;342,54
01.01.2021;11:45;355,18
01.01.2021;12:00;342,54
01.01.2021;12:15;310,94
01.01.2021;12:30;327,38
01.01.2021;12:45;312,21
01.01.2021;13:00;329,90
01.01.2021;13:15;351,39
01.01.2021;13:30;352,66
01.01.2021;13:45;348,86
01.01.2021;14:00;358,98
01.01.2021;14:15;362,77
01.01.2021;14:30;389,31
01.01.2021;14:45;394,37
01.01.2021;15:00;377,94
01.01.2021;15:15;391,84
01.01.2021;15:30;390,58
01.01.2021;15:45;364,03
01.01.2021;16:00;379,20
01.01.2021;16:15;400,69
01.01.2021;16:30;408,27
01.01.2021;16:45;407,01
01.01.2021;17:00;400,69
01.01.2021;17:15;399,42
01.01.2021;17:30;404,48
01.01.2021;17:45;391,84
01.01.2021;18:00;399,42
01.01.2021;18:15;399,42
01.01.2021;18:30;407,01
