Datum;Periode ab;kW
01.01.2021;00:00;525,60
01.01.2021;00:15;530,27
01.01.2021;00:30;525,60
01.01.2021;00:45;527,94
01.01.2021;01:00;523,26
01.01.2021;01:15;537,28
01.01.2021;01:30;525,60
01.01.2021;01:45;518,59
01.01.2021;02:00;511,58
01.01.2021;02:15;520,93
01.01.2021;02:30;537,28
01.01.2021;02:45;534,94
01.01.2021;03:00;523,26
01.01.2021;03:15;520,93
01.01.2021;03:30;516,26
01.01.2021;03:45;513,92
01.01.2021;04:00;527,94
01.01.2021;04:15;511,58
01.01.2021;04:30;527,94
01.01.2021;04:45;506,91
01.01.2021;05:00;511,58
01.01.2021;05:15;509,25
01.01.2021;05:30;509,25
01.01.2021;05:45;506,91
01.01.2021;06:00;518,59
01.01.2021;06:15;509,25
01.01.2021;06:30;513,92
01.01.2021;06:45;504,58
01.01.2021;07:00;502,24
01.01.2021;07:15;513,92
01.01.2021;07:30;509,25
01.01.2021;07:45;530,27
01.01.2021;08:00;495,38
01.01.2021;08:15;401,75
01.01.2021;08:30;398,22
01.01.2021;08:45;379,35
01.01.2021;09:00;340,86
01.01.2021;09:15;338,62
01.01.2021;09:30;317,96
01.01.2021;09:45;343,21
01.01.2021;10:00;339,75
01.01.2021;10:15;327,73
01.01.2021;10:30;325,26
01.01.2021;10:45;314,95
01.01.2021;11:00;302,47
01.01.2021;11:15;291,73
01.01.2021;11:30;272,90
01.01.2021;11:45;226,12
01.01.2021;12:00;120,76
01.01.2021;12:15;173,99
01.01.2021;12:30;174,80
01.01.2021;12:45;288,81
01.01.2021;13:00;235,57
01.01.2021;13:15;175,11
01.01.2021;13:30;174,88
01.01.2021;13:45;224,64
01.01.2021;14:00;221,01
01.01.2021;14:15;261,44
01.01.2021;14:30;279,98
01.01.2021;14:45;271,45
01.01.2021;15:00;283,74
01.01.2021;15:15;324,74
01.01.2021;15:30;348,72
01.01.2021;15:45;354,79
01.01.2021;16:00;432,54
01.01.2021;16:15;456,97
01.01.2021;16:30;511,58
01.01.2021;16:45;509,25
01.01.2021;17:00;518,59
01.01.2021;17:15;516,26
01.01.2021;17:30;506,91
01.01.2021;17:45;516,26
01.01.2021;18:00;511,58
01.01.2021;18:15;518,59
01.01.2021;18:30;520,93
01.01.2021;18:45;506,91
01.01.2021;19:00;509,25
01.01.2021;19:15;509,25
01.01.2021;19:30;518,59
01.01.2021;19:45;525,60
01.01.2021;20:00;516,26
01.01.2021;20:15;516,26
01.01.2021;20:30;530,27
01.01.2021;20:45;516,26
01.01.2021;21:00;513,92
01.01.2021;21:15;523,26
01.01.2021;21:30;511,58
01.01.2021;21:45;527,94
01.01.2021;22:00;544,29
01.01.2021;22:15;532,61
01.01.2021;22:30;551,30
01.01.2021;22:45;555,97
01.01.2021;23:00;539,62
01.01.2021;23:15;544,29
01.01.2021;23:30;534,94
01.01.2021;23:45;537,28
02.01.2021;00:00;532,61
02.01.2021;00:15;527,94
02.01.2021;00:30;539,62
02.01.2021;00:45;525,60
02.01.2021;01:00;520,93
02.01.2021;01:15;534,94
02.01.2021;01:30;525,60
02.01.2021;01:45;520,93
02.01.2021;02:00;518,59
02.01.2021;02:15;509,25
02.01.2021;02:30;509,25
02.01.2021;02:45;502,24
02.01.2021;03:00;523,26
02.01.2021;03:15;513,92
02.01.2021;03:30;511,58
02.01.2021;03:45;520,93
02.01.2021;04:00;516,26
02.01.2021;04:15;516,26
02.01.2021;04:30;509,25
02.01.2021;04:45;497,57
02.01.2021;05:00;506,91
02.01.2021;05:15;516,26
02.01.2021;05:30;516,26
02.01.2021;05:45;506,91
02.01.2021;06:00;497,57
02.01.2021;06:15;511,58
02.01.2021;06:30;513,92
02.01.2021;06:45;518,59
02.01.2021;07:00;520,93
02.01.2021;07:15;520,93
02.01.2021;07:30;518,59
02.01.2021;07:45;511,58
02.01.2021;08:00;464,86
02.01.2021;08:15;378,50
02.01.2021;08:30;404,14
02.01.2021;08:45;382,11
02.01.2021;09:00;388,23
02.01.2021;09:15;375,35
02.01.2021;09:30;365,75
02.01.2021;09:45;367,46
02.01.2021;10:00;362,24
02.01.2021;10:15;350,93
02.01.2021;10:30;356,64
02.01.2021;10:45;356,01
02.01.2021;11:00;369,58
02.01.2021;11:15;371,20
