Datum;Periode ab;kW
01.01.2021;00:00;468,72
01.01.2021;00:15;461,28
01.01.2021;00:30;462,77
01.01.2021;00:45;483,60
01.01.2021;01:00;459,79
01.01.2021;01:15;563,95
01.01.2021;01:30;517,82
01.01.2021;01:45;483,60
01.01.2021;02:00;467,23
01.01.2021;02:15;476,16
01.01.2021;02:30;462,77
01.01.2021;02:45;468,72
01.01.2021;03:00;461,28
01.01.2021;03:15;452,35
01.01.2021;03:30;464,26
01.01.2021;03:45;491,04
01.01.2021;04:00;492,53
01.01.2021;04:15;480,62
01.01.2021;04:30;529,73
01.01.2021;04:45;641,33
01.01.2021;05:00;706,80
01.01.2021;05:15;708,29
01.01.2021;05:30;709,78
01.01.2021;05:45;764,83
01.01.2021;06:00;732,10
01.01.2021;06:15;752,93
01.01.2021;06:30;773,76
01.01.2021;06:45;748,46
01.01.2021;07:00;742,51
01.01.2021;07:15;741,02
01.01.2021;07:30;799,06
01.01.2021;07:45;825,84
01.01.2021;08:00;784,18
01.01.2021;08:15;778,22
01.01.2021;08:30;752,93
01.01.2021;08:45;782,69
01.01.2021;09:00;790,13
01.01.2021;09:15;892,80
01.01.2021;09:30;828,82
01.01.2021;09:45;773,76
01.01.2021;10:00;836,26
01.01.2021;10:15;796,08
01.01.2021;10:30;739,54
01.01.2021;10:45;733,58
01.01.2021;11:00;735,07
01.01.2021;11:15;741,02
01.01.2021;11:30;748,46
01.01.2021;11:45;718,70
01.01.2021;12:00;775,25
01.01.2021;12:15;751,44
01.01.2021;12:30;694,90
01.01.2021;12:45;727,63
01.01.2021;13:00;738,05
01.01.2021;13:15;763,34
01.01.2021;13:30;735,07
01.01.2021;13:45;720,19
01.01.2021;14:00;718,70
01.01.2021;14:15;688,94
01.01.2021;14:30;748,46
01.01.2021;14:45;763,34
01.01.2021;15:00;755,90
01.01.2021;15:15;708,29
01.01.2021;15:30;746,98
01.01.2021;15:45;755,90
01.01.2021;16:00;733,58
01.01.2021;16:15;757,39
01.01.2021;16:30;790,13
01.01.2021;16:45;775,25
01.01.2021;17:00;805,01
01.01.2021;17:15;773,76
01.01.2021;17:30;739,54
01.01.2021;17:45;819,89
01.01.2021;18:00;935,95
01.01.2021;18:15;858,58
01.01.2021;18:30;791,62
01.01.2021;18:45;815,42
01.01.2021;19:00;860,06
01.01.2021;19:15;863,04
01.01.2021;19:30;849,65
01.01.2021;19:45;858,58
01.01.2021;20:00;843,70
01.01.2021;20:15;965,71
01.01.2021;20:30;935,95
01.01.2021;20:45;852,62
01.01.2021;21:00;918,10
01.01.2021;21:15;977,62
01.01.2021;21:30;956,78
01.01.2021;21:45;930,00
01.01.2021;22:00;983,57
01.01.2021;22:15;816,91
01.01.2021;22:30;818,40
01.01.2021;22:45;825,84
01.01.2021;23:00;886,85
01.01.2021;23:15;944,88
01.01.2021;23:30;1025,23
01.01.2021;23:45;1002,91
02.01.2021;00:00;962,74
02.01.2021;00:15;1014,82
02.01.2021;00:30;1101,12
02.01.2021;00:45;1101,12
02.01.2021;01:00;1038,62
02.01.2021;01:15;1098,14
02.01.2021;01:30;1047,55
02.01.2021;01:45;1072,85
02.01.2021;02:00;1057,97
02.01.2021;02:15;1031,18
02.01.2021;02:30;970,18
02.01.2021;02:45;953,81
02.01.2021;03:00;868,99
02.01.2021;03:15;828,82
02.01.2021;03:30;806,50
02.01.2021;03:45;727,63
02.01.2021;04:00;782,69
02.01.2021;04:15;818,40
02.01.2021;04:30;794,59
02.01.2021;04:45;796,08
02.01.2021;05:00;816,91
02.01.2021;05:15;828,82
02.01.2021;05:30;894,29
02.01.2021;05:45;827,33
02.01.2021;06:00;818,40
02.01.2021;06:15;793,10
02.01.2021;06:30;813,94
02.01.2021;06:45;790,13
02.01.2021;07:00;787,15
02.01.2021;07:15;794,59
02.01.2021;07:30;784,18
02.01.2021;07:45;824,35
02.01.2021;08:00;784,18
02.01.2021;08:15;807,98
02.01.2021;08:30;805,01
02.01.2021;08:45;799,06
02.01.2021;09:00;839,23
02.01.2021;09:15;871,97
02.01.2021;09:30;733,58
02.01.2021;09:45;824,35
02.01.2021;10:00;839,23
02.01.2021;10:15;807,98
02.01.2021;10:30;794,59
02.01.2021;10:45;868,99
02.01.2021;11:00;892,80
02.01.2021;11:15;852,62
02.01.2021;11:30;889,82
