Datum;Periode ab;kW
01.01.2021;00:00;165,92
01.01.2021;00:15;144,16
01.01.2021;00:30;144,16
01.01.2021;00:45;157,76
01.01.2021;01:00;133,28
01.01.2021;01:15;157,76
01.01.2021;01:30;157,76
01.01.2021;01:45;125,12
01.01.2021;02:00;157,76
01.01.2021;02:15;125,12
01.01.2021;02:30;133,28
01.01.2021;02:45;157,76
01.01.2021;03:00;119,68
01.01.2021;03:15;144,16
01.01.2021;03:30;136,00
01.01.2021;03:45;144,16
01.01.2021;04:00;152,32
01.01.2021;04:15;119,68
01.01.2021;04:30;136,00
01.01.2021;04:45;149,60
01.01.2021;05:00;146,88
01.01.2021;05:15;160,48
01.01.2021;05:30;195,84
01.01.2021;05:45;152,32
01.01.2021;06:00;160,48
01.01.2021;06:15;141,44
01.01.2021;06:30;160,48
01.01.2021;06:45;146,88
01.01.2021;07:00;152,32
01.01.2021;07:15;155,04
01.01.2021;07:30;141,44
01.01.2021;07:45;157,76
01.01.2021;08:00;157,76
01.01.2021;08:15;133,28
01.01.2021;08:30;155,04
01.01.2021;08:45;122,40
01.01.2021;09:00;160,48
01.01.2021;09:15;144,16
01.01.2021;09:30;157,76
01.01.2021;09:45;165,92
01.01.2021;10:00;130,56
01.01.2021;10:15;157,76
01.01.2021;10:30;144,16
01.01.2021;10:45;141,44
01.01.2021;11:00;171,36
01.01.2021;11:15;130,56
01.01.2021;11:30;146,88
01.01.2021;11:45;141,44
01.01.2021;12:00;133,28
01.01.2021;12:15;149,60
01.01.2021;12:30;116,96
01.01.2021;12:45;152,32
01.01.2021;13:00;133,28
01.01.2021;13:15;136,00
01.01.2021;13:30;149,60
01.01.2021;13:45;127,84
01.01.2021;14:00;157,76
01.01.2021;14:15;130,56
01.01.2021;14:30;141,44
01.01.2021;14:45;136,00
01.01.2021;15:00;133,28
01.01.2021;15:15;149,60
01.01.2021;15:30;122,40
01.01.2021;15:45;155,04
01.01.2021;16:00;136,00
01.01.2021;16:15;144,16
01.01.2021;16:30;149,60
01.01.2021;16:45;133,28
01.01.2021;17:00;176,80
01.01.2021;17:15;136,00
01.01.2021;17:30;157,76
01.01.2021;17:45;149,60
01.01.2021;18:00;152,32
01.01.2021;18:15;149,60
01.01.2021;18:30;130,56
01.01.2021;18:45;163,20
01.01.2021;19:00;141,44
01.01.2021;19:15;144,16
01.01.2021;19:30;141,44
01.01.2021;19:45;130,56
01.01.2021;20:00;157,76
01.01.2021;20:15;133,28
